"Name";"alarmClass"
"Host connection and power state";"High"
"No compatible host for Secondary VM";"Medium"
"Update Manager Service Health Alarm";"Low"
"vMon API Service Health Alarm";"Low"
"Component Manager Service Health Alarm";"Low"
"VMware vSphere Authentication Proxy Service Health Alarm";"disabled"
"vSAN Health Service Alarm";"disabled"
"PostgreSQL Archiver Service Health Alarm";"Low"
"VMware vCenter-Services Health Alarm";"High"
"vSAN Data Protection Service Health Alarm";"disabled"
"Hybrid vCenter Service Health Alarm";"disabled"
"Host TPM attestation alarm";"Medium"
"Host error";"High"
"Improved virtual disk infrastructure namespaces storage policy alarm";"Low"
"KMS Client Certificate Status";"Medium"
"KMS Server Certificate Status";"Medium"
"Virtual Machine Locked Alarm";"Medium"
"Host Requires Encryption Mode Enabled Alarm";"Low"
"Host processor status";"Low"
"Host memory status";"Low"
"Host hardware fan status";"High"
"Host hardware voltage";"High"
"Host hardware temperature status";"High"
"Virtual machine error";"High"
"Host hardware power status";"High"
"Host hardware system board status";"High"
"Host battery status";"High"
"Status of other host hardware objects";"High"
"Host storage status";"Low"
"Host hardware sensor state";"High"
"Memory Exhaustion on NLDC01VS011";"Low"
"CPU Exhaustion on NLDC01VS011";"Low"
"vCenter HA Cluster Health Alarm";"Medium"
"Failover Failed Alarm";"Medium"
"Host connection failure";"Low"
"VMware Directory Service Health Alarm";"Medium"
"vSAN health alarm 'Unexpected number of fault domains'";"disabled"
"vSAN health alarm 'Customer Experience Improvement Program (CEIP)'";"disabled"
"vSAN health alarm 'Software version compatibility'";"disabled"
"vSAN health alarm 'vSphere cluster members do not match vSAN cluster members'";"disabled"
"vSAN health alarm 'vSAN Build Recommendation Engine build recommendation'";"disabled"
"vSAN Health Alarm 'Controller utility is installed on host'";"disabled"
"vSAN health alarm 'vSAN Build Recommendation Engine Health' configuration issues";"disabled"
"vSAN health alarm 'vCenter state is authoritative'";"disabled"
"vSAN health alarm 'Component metadata health'";"disabled"
"Cannot connect to storage";"High"
"vSAN health alarm 'vSAN object health'";"disabled"
"vSAN health alarm for 'Firmware provider health'";"disabled"
"vSAN health alarm 'Host issues retrieving hardware info'";"disabled"
"vSAN health alarm 'Network configuration'";"disabled"
"vSAN health alarm 'Stretched cluster health'";"disabled"
"vSAN health alarm 'Unicast agent configuration inconsistent'";"disabled"
"vSAN health alarm 'Basic (unicast) connectivity check (normal ping)'";"disabled"
"vSAN Health Alarm 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver'";"disabled"
"vSAN Health Alarm 'vSAN data protection health'";"disabled"
"vSAN Health Alarm 'vSAN configuration for LSI-3108 based controller'";"disabled"
"Migration error";"Low"
"vSAN health alarm 'Host Maintenance Mode and Decommission State'";"disabled"
"vSAN health alarm 'All hosts contributing stats'";"disabled"
"vSAN health alarm 'vSAN HCL DB Auto Update'";"disabled"
"vSAN health alarm 'vSAN disk balance'";"disabled"
"vSAN health alarm 'After 1 additional host failure'";"disabled"
"vSAN health alarm 'Active multicast connectivity check'";"disabled"
"vSAN health alarm 'vSAN release catalog up-to-date'";"disabled"
"vSAN health alarm 'All hosts have a vSAN vmknic configured'";"disabled"
"vSAN health alarm 'Preferred fault domain unset'";"disabled"
"vSAN Health Alarm 'Disks usage on storage controller'";"disabled"
"Exit standby error";"Low"
"vSAN health alarm 'Multicast assessment based on other checks'";"disabled"
"vSAN health alarm 'No disk claimed on witness host'";"disabled"
"vSAN health alarm 'Unicast agent not configured'";"disabled"
"vSAN health alarm 'Network adapter firmware is VMware certified'";"disabled"
"vSAN health alarm 'vSAN extended configuration in sync'";"disabled"
"vSAN health alarm for vMotion 'Basic (unicast) connectivity check (normal ping)'";"disabled"
"vSAN Health Alarm 'vSAN data protection service configuration in sync'";"disabled"
"VDS compliance check for hyperconverged cluster configuration";"disabled"
"vSAN health alarm 'vSAN Performance Service health'";"disabled"
"vSAN Health Alarm 'vSAN object data protection health'";"disabled"
"License error";"Low"
"vSAN health alarm 'Cluster health'";"disabled"
"vSAN health alarm 'Physical disk health retrieval issues'";"disabled"
"vSAN health alarm 'Memory pools (slabs)'";"disabled"
